date,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,LeapYear
2005-01-01,-2.22044604925031e-16,-1,-1,-1,-1,-1,7.105427357601e-15
2005-02-01,0,0,0,0,0,0,-0.249999999999996
2005-03-01,-2.28887299576473,-0.492052139831951,-0.492052139831951,-0.492052139831951,-2.18728342373112,-1.49205213983195,-7.105427357601e-15
2005-04-01,2.28887299576473,1.49205213983195,1.49205213983195,1.49205213983195,3.18728342373112,2.49205213983195,3.5527136788005e-15
2005-05-01,1,1,-1,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,1.06581410364015e-14
2005-06-01,-2.22044604925031e-16,-2.22044604925031e-16,1,-2.22044604925031e-16,-1,-2.22044604925031e-16,1.06581410364015e-14
2005-07-01,-1,-1,-1,-1,0,0,-7.105427357601e-15
2005-08-01,1,1,1,0,0,0,-7.105427357601e-15
2005-09-01,0,0,0,1,1,0,3.5527136788005e-15
2005-10-01,0,-1,-1,-1,-1,0,-7.105427357601e-15
2005-11-01,-2.22044604925031e-16,1,1,-2.22044604925031e-16,-1,-2.22044604925031e-16,7.105427357601e-15
2005-12-01,-4.44089209850063e-16,1,1,2,2,1,1.4210854715202e-14
2006-01-01,1,1,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,7.105427357601e-15
2006-02-01,0,0,0,0,0,0,-0.249999999999996
2006-03-01,0.711127004235269,0.507947860168049,1.50794786016805,1.50794786016805,1.81271657626888,0.507947860168049,-7.105427357601e-15
2006-04-01,-1.71112700423527,-1.50794786016805,-1.50794786016805,-1.50794786016805,-1.81271657626888,-0.507947860168049,3.5527136788005e-15
2006-05-01,-2.22044604925031e-16,1,1,-1,-2.22044604925031e-16,-2.22044604925031e-16,1.06581410364015e-14
2006-06-01,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,1,-2.22044604925031e-16,-1,1.06581410364015e-14
2006-07-01,0,-1,-1,-1,-1,0,-7.105427357601e-15
2006-08-01,0,1,1,1,0,0,-7.105427357601e-15
2006-09-01,0,0,0,0,1,1,3.5527136788005e-15
2006-10-01,0,0,-1,-1,-1,-1,-7.105427357601e-15
2006-11-01,-2.22044604925031e-16,-2.22044604925031e-16,1,1,-2.22044604925031e-16,-1,7.105427357601e-15
2006-12-01,-1,-1,-4.44089209850063e-16,-4.44089209850063e-16,1,1,1.4210854715202e-14
2007-01-01,-2.22044604925031e-16,1,1,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,7.105427357601e-15
2007-02-01,0,0,0,0,0,0,-0.249999999999996
2007-03-01,0.711127004235269,0.507947860168049,0.507947860168049,1.50794786016805,1.81271657626888,1.50794786016805,-7.105427357601e-15
2007-04-01,-0.711127004235269,-1.50794786016805,-1.50794786016805,-1.50794786016805,-1.81271657626888,-1.50794786016805,3.5527136788005e-15
2007-05-01,-2.22044604925031e-16,-2.22044604925031e-16,1,1,-1,-2.22044604925031e-16,1.06581410364015e-14
2007-06-01,1,1,1,1,2,1,1.06581410364015e-14
2007-07-01,0,0,-1,-1,-1,-1,-7.105427357601e-15
2007-08-01,0,0,1,1,1,0,-7.105427357601e-15
2007-09-01,-1,-1,-1,-1,-1,0,3.5527136788005e-15
2007-10-01,1,1,1,0,0,0,-7.105427357601e-15
2007-11-01,-0.428571428571429,0.285714285714286,0.285714285714286,1.28571428571429,1.28571428571429,0.285714285714286,7.105427357601e-15
2007-12-01,-2,-2,-2,-1,-1,-8.88178419700125e-16,-1.06581410364015e-14
2008-01-01,-2.22044604925031e-16,-2.22044604925031e-16,1,1,-2.22044604925031e-16,-2.22044604925031e-16,7.105427357601e-15
2008-02-01,0,0,0,0,1,0,0.750000000000004
2008-03-01,-2.28887299576473,-2.49205213983195,-2.49205213983195,-2.49205213983195,-3.18728342373112,-1.49205213983195,-7.105427357601e-15
2008-04-01,2.28887299576473,2.49205213983195,2.49205213983195,1.49205213983195,2.18728342373112,1.49205213983195,3.5527136788005e-15
2008-05-01,-0.428571428571429,0.285714285714286,0.285714285714286,0.285714285714286,1.28571428571429,1.28571428571429,1.06581410364015e-14
2008-06-01,-1,-2,-1,-1,-1,-1,1.06581410364015e-14
2008-07-01,0,1,1,1,0,0,-7.105427357601e-15
2008-08-01,-1,-1,-1,-1,0,0,-7.105427357601e-15
2008-09-01,1,1,0,0,0,0,3.5527136788005e-15
2008-10-01,0,0,1,1,1,0,-7.105427357601e-15
2008-11-01,-0.428571428571429,-1.71428571428571,-0.714285714285714,-0.714285714285714,-0.714285714285714,0.285714285714286,7.105427357601e-15
2008-12-01,1,1,-1,-1,-1,-8.88178419700125e-16,-1.06581410364015e-14
2009-01-01,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,1,1,7.105427357601e-15
2009-02-01,0,0,0,0,0,0,-0.249999999999996
