date,WorkingDays,LeapYear
2016-11-01,2,7.105427357601e-15
2016-12-01,6,-1.06581410364015e-14
2017-01-01,2,7.105427357601e-15
2017-02-01,0,-0.249999999999996
2017-03-01,4.77781751058817,-7.105427357601e-15
2017-04-01,-6.77781751058818,3.5527136788005e-15
2017-05-01,2,1.06581410364015e-14
2017-06-01,3.5,1.06581410364015e-14
2017-07-01,-4,-7.105427357601e-15
2017-08-01,3,-7.105427357601e-15
2017-09-01,-1.5,3.5527136788005e-15
2017-10-01,-0.5,-7.105427357601e-15
2017-11-01,2,7.105427357601e-15
2017-12-01,-1,-1.06581410364015e-14
2018-01-01,2,7.105427357601e-15
2018-02-01,0,-0.249999999999996
2018-03-01,-2.22218248941183,-7.105427357601e-15
2018-04-01,0.222182489411825,3.5527136788005e-15
2018-05-01,2,1.06581410364015e-14
2018-06-01,3.5,1.06581410364015e-14
2018-07-01,-4,-7.105427357601e-15
2018-08-01,3,-7.105427357601e-15
2018-09-01,-8.5,3.5527136788005e-15
2018-10-01,3,-7.105427357601e-15
2018-11-01,2,7.105427357601e-15
2018-12-01,-8,-1.06581410364015e-14
2019-01-01,2,7.105427357601e-15
2019-02-01,0,-0.249999999999996
2019-03-01,-2.22218248941183,-7.105427357601e-15
2019-04-01,0.222182489411825,3.5527136788005e-15
2019-05-01,2,1.06581410364015e-14
2019-06-01,-3.5,1.06581410364015e-14
2019-07-01,3,-7.105427357601e-15
2019-08-01,-0.5,-7.105427357601e-15
2019-09-01,-1.5,3.5527136788005e-15
2019-10-01,3,-7.105427357601e-15
2019-11-01,-1.5,7.105427357601e-15
2019-12-01,-4.5,-1.06581410364015e-14
2020-01-01,2,7.105427357601e-15
2020-02-01,-2.5,0.750000000000004
2020-03-01,1.27781751058817,-7.105427357601e-15
2020-04-01,0.222182489411825,3.5527136788005e-15
2020-05-01,-5,1.06581410364015e-14
2020-06-01,8.88178419700125e-16,1.06581410364015e-14
2020-07-01,3,-7.105427357601e-15
2020-08-01,-4,-7.105427357601e-15
2020-09-01,2,3.5527136788005e-15
2020-10-01,-0.5,-7.105427357601e-15
2020-11-01,-1.5,7.105427357601e-15
2020-12-01,2.5,-1.06581410364015e-14
2021-01-01,-5,7.105427357601e-15
2021-02-01,0,-0.249999999999996
2021-03-01,4.77781751058817,-7.105427357601e-15
2021-04-01,0.222182489411825,3.5527136788005e-15
2021-05-01,-1.5,1.06581410364015e-14
2021-06-01,8.88178419700125e-16,1.06581410364015e-14
2021-07-01,-0.5,-7.105427357601e-15
2021-08-01,-0.5,-7.105427357601e-15
2021-09-01,2,3.5527136788005e-15
2021-10-01,-4,-7.105427357601e-15
2021-11-01,2,7.105427357601e-15
2021-12-01,6,-1.06581410364015e-14
2022-01-01,-1.5,7.105427357601e-15
2022-02-01,0,-0.249999999999996
2022-03-01,4.77781751058817,-7.105427357601e-15
2022-04-01,-3.27781751058818,3.5527136788005e-15
2022-05-01,2,1.06581410364015e-14
2022-06-01,8.88178419700125e-16,1.06581410364015e-14
2022-07-01,-4,-7.105427357601e-15
2022-08-01,3,-7.105427357601e-15
2022-09-01,2,3.5527136788005e-15
2022-10-01,-4,-7.105427357601e-15
2022-11-01,2,7.105427357601e-15
2022-12-01,6,-1.06581410364015e-14
